:START_ID(Account number),:END_ID(Withdrawal id),:TYPE,date
6861450642,db1d599e-cb37-4b55-8855-f679768757e1,MADE,2023-11-01 16:38:00
6861450642,15c79514-1eca-4f4c-ae13-c7c179a650c2,MADE,2022-12-13 05:58:01
6861450642,853507d3-e552-46dc-9451-cc8a88e62afd,MADE,2023-08-10 16:10:09
2448380298,701c82f1-777b-4752-8d7c-e1d84bb8c4ce,MADE,2022-09-01 04:17:53
2448380298,a45ad06a-3e0f-430a-9db8-c0abfc08df48,MADE,2022-07-25 00:06:15
951378079,31c01492-cc13-4f5b-925b-a6240c4bff54,MADE,2023-01-03 08:33:20
951378079,44d00191-4721-493c-b325-c04d057cab74,MADE,2023-01-10 07:54:53
951378079,23b75404-25aa-4214-afd0-cbbacc40f9b5,MADE,2022-12-30 08:44:08
951378079,a213330b-77c5-4a83-98d5-ded1c5396b68,MADE,2023-01-28 13:34:54
951378079,c01c7dc0-8f43-4d9a-b4ae-80f1bae487bc,MADE,2023-01-21 04:25:36
1233929837,9b22fc06-9fc2-4f76-bb08-d7d3c20ec15f,MADE,2023-05-23 17:17:40
1233929837,f838efdb-b27e-4753-a4eb-c920a034310f,MADE,2022-04-04 20:45:34
1233929837,d5060afb-c3e3-44cb-9ca3-e076a180c969,MADE,2022-11-30 15:42:25
8787835975,02d93953-0418-4575-a790-97a835418a20,MADE,2023-01-14 08:10:33
4308221664,2f6e0f25-692f-44c7-887a-7d5919f75e4e,MADE,2022-05-11 11:32:09
4308221664,a4760a81-65be-4e34-aa48-47f4ddc0b594,MADE,2022-03-27 21:17:37
4308221664,a65f2b80-5b4d-4351-a145-f3792a65a2dc,MADE,2022-07-13 03:12:11
4308221664,2184f403-7e3c-48a8-a9dc-b5b16d9d8946,MADE,2022-06-18 02:28:37
4180000752,507ecc07-0574-4748-ab3f-53da0061cebe,MADE,2022-05-15 05:03:33
4180000752,4f959f86-ddbe-4b94-93ae-b9831df2d92b,MADE,2022-08-03 07:23:26
7269342710,5a2dcd8f-4bed-41f6-8644-6e8dbdd154e1,MADE,2023-07-13 13:48:53
7269342710,9d12ed41-0266-455d-9d53-8f7afe883bbf,MADE,2023-06-02 22:23:41
7269342710,bedfba3d-3f87-4f4c-b99d-a21407f20fa4,MADE,2023-06-16 09:09:23
7269342710,efb8b70e-109f-49da-9964-ca492acb368e,MADE,2023-06-22 10:17:18
7269342710,7929593d-8d9f-4cb1-93ac-8cd39566ae14,MADE,2023-07-05 09:52:02
6053675240,6e45d775-c650-468f-9e4f-88271eba7064,MADE,2022-06-03 10:53:40
6053675240,c7b14b5d-4e32-4ad2-a596-0ddc48a168a4,MADE,2023-03-19 06:22:16
6053675240,38548800-8130-42f1-a2c6-40721e64ab38,MADE,2022-10-27 01:29:07
6122416360,03ef1be3-b6f6-4237-8cb2-077c3771822a,MADE,2023-05-03 08:12:14
