:START_ID,:END_ID,:TYPE,date
5029779173,0ca381ed-4adb-45d2-9285-7a548eed93e3,MADE,
1344154401,055e7fb6-b02d-4acc-bf45-749b22410f8e,MADE,2023-05-29 20:13:55
1344154401,6a8f8638-1451-4bf0-8b56-f6fc3d22a334,MADE,2023-05-29 22:53:04
1344154401,675a189b-a45c-4a34-beba-1612fe82d886,MADE,2023-05-30 23:18:29
1852568247,08153589-45a5-449d-a07c-de1a20e83e5d,MADE,2023-03-04 04:54:15
7702535016,17acee06-66db-43fb-92e3-03d2257af974,MADE,2023-04-15 06:12:23
7702535016,261f45c8-eeef-4287-8042-495e98010a0a,MADE,2023-04-26 05:57:05
7702535016,13011c2f-9ad0-49df-a497-5e10683b0b9e,MADE,
5699489849,6feec792-83cb-426b-9413-bb5d121a443a,MADE,2022-08-11 03:57:07
5699489849,c46d8081-6231-4ad1-b4b7-db5228a26078,MADE,2022-07-07 05:57:03
499962997,765f850c-3c28-48ae-8299-991860c9b1eb,MADE,2018-08-14 18:05:11
499962997,96d38480-b403-4324-bb05-bfbd39a702ce,MADE,2020-05-03 06:18:52
3966019561,b8dbdcd4-eff9-4099-bfae-4c4f03b2e86e,MADE,2023-01-22 06:32:45
3966019561,aa5e5d35-bb19-4303-a878-a05f559c49f1,MADE,2021-07-23 17:32:30
6859629567,417d2881-76e5-44b4-b456-6376737bb687,MADE,2018-09-28 01:23:15
6859629567,3c75788d-fd2c-4109-a7b3-7b1b5dc0b44c,MADE,2019-02-11 00:04:17
341103454,c9c0b9d4-51b8-4755-868f-6268281e7ccb,MADE,2021-03-30 12:03:34
5157791575,04210754-e093-4274-a061-3218a5e7b887,MADE,2022-01-17 08:20:11
5157791575,9ab47bae-f2a6-41e8-9b3b-52363b22c6e2,MADE,2023-05-17 10:18:42
3281021677,dc5ef488-79c9-4951-802c-ebfd39cdb5c6,MADE,
645392852,fb758358-4e83-4952-9b01-56fe59ee3578,MADE,2023-05-20 18:41:50
2887956709,fecc1176-982c-47ea-9e25-a19362f19bf9,MADE,
9864468735,2c0873f8-c9d4-4c3e-9743-a688a3121c16,MADE,2023-06-09 14:59:56
7071899638,fce3b85a-092e-4519-aa62-26def87a7ec9,MADE,2023-05-29 04:46:26
7071899638,b35b7c17-34c9-4dcf-9ec2-71f51795639c,MADE,2023-05-29 16:21:39
7071899638,00f3b876-1c66-4de2-9712-b6a122f3d499,MADE,2023-05-29 21:57:46
4818744359,b86f18c0-4aaf-4d4a-bcc5-94ecffb965ec,MADE,2022-07-15 16:21:30
8989600366,369813b7-16b3-4690-8d30-e1589aaec674,MADE,2023-04-26 03:02:57
8989600366,393f4157-0f45-402c-9df6-c503c4a36a32,MADE,2023-07-05 20:22:11
928995230,9fcc958e-0ab6-43a4-a993-7a52bc75a292,MADE,2023-05-24 10:49:38
928995230,aca2a421-f42f-4a04-954c-f93d0a3fa74f,MADE,2023-05-20 01:41:25
6474195146,111c2839-a55c-4599-ae4f-01d20e19b4a0,MADE,
1947230202,0a91f882-33ea-48ca-b9cf-a784b7b41fdb,MADE,2021-01-21 07:30:53
1947230202,bce2b3d3-a835-4743-9d10-abe967d7044b,MADE,
5370044172,2c0cc5d7-9fd2-4c1c-80c9-9ed41a585de5,MADE,2022-08-23 12:03:50
5370044172,e5caca98-ccbd-445a-87d9-2772a6f9c0ac,MADE,2021-07-23 13:40:22
